T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
0.002,-0.711562,-0.000254283,0.0,-0.71365,0.00171667,12,...........,-327.67
0.004,-0.712792,-0.000245946,0.0,-0.71465,0.00169167,12,...........,-327.67
0.006,-0.713667,-0.000275126,0.0,-0.71565,0.00168333,12,...........,-327.67
0.008,-0.714637,-0.000354329,0.0,-0.71665,0.001675,12,...........,-327.67
0.01,-0.715742,-0.000329317,0.0,-0.71765,0.001675,12,...........,-327.67
0.012,-0.71665,-0.000371003,0.0,-0.71865,0.00165,12,...........,-327.67
0.014,-0.717675,-0.000366835,0.0,-0.71965,0.00168333,12,...........,-327.67
0.016,-0.718621,-0.00037934,0.0,-0.72065,0.00165833,12,...........,-327.67
0.018,-0.719458,-0.000375172,0.0,-0.72165,0.00168333,12,...........,-327.67
0.02,-0.720833,-0.000371003,0.0,-0.72265,0.00165833,12,...........,-327.67
0.022,-0.721692,-0.000362666,0.0,-0.72365,0.00163333,12,...........,-327.67
0.024,-0.722617,-0.000371003,0.0,-0.72465,0.001675,12,...........,-327.67
0.026,-0.723929,-0.000366835,0.0,-0.72565,0.00166667,12,...........,-327.67
0.028,-0.724721,-0.000345992,0.0,-0.72665,0.0017,12,...........,-327.67
0.03,-0.725662,-0.000412689,0.0,-0.72765,0.001675,12,...........,-327.67
0.032,-0.726783,-0.000429363,0.0,-0.72865,0.00165833,12,...........,-327.67
0.034,-0.7276,-0.000412689,0.0,-0.72965,0.00169167,12,...........,-327.67
0.036,-0.728804,-0.000421026,0.0,-0.73065,0.00164167,12,...........,-327.67
0.038,-0.729642,-0.000421026,0.0,-0.73165,0.00166667,12,...........,-327.67
0.04,-0.730596,-0.000433532,0.0,-0.73265,0.00168333,12,...........,-327.67
0.042,-0.7316,-0.0004377,0.0,-0.73365,0.0017,12,...........,-327.67
0.044,-0.732617,-0.000441869,0.0,-0.73465,0.00168333,12,...........,-327.67
0.046,-0.733633,-0.000416858,0.0,-0.73565,0.001625,12,...........,-327.67
0.048,-0.734592,-0.000421026,0.0,-0.73665,0.00165833,12,...........,-327.67
0.05,-0.735567,-0.000441869,0.0,-0.73765,0.00165,12,...........,-327.67
0.052,-0.736796,-0.000454375,0.0,-0.73865,0.00163333,12,...........,-327.67
0.054,-0.737612,-0.000450206,0.0,-0.73965,0.001675,12,...........,-327.67
0.056,-0.738629,-0.000462712,0.0,-0.74065,0.00165833,12,...........,-327.67
0.058,-0.7396,-0.000475218,0.0,-0.74165,0.00165833,12,...........,-327.67
0.06,-0.740621,-0.000487723,0.0,-0.74265,0.00164167,12,...........,-327.67
0.062,-0.741713,-0.000462712,0.0,-0.74365,0.00163333,12,...........,-327.67
0.064,-0.742633,-0.000521072,0.0,-0.74465,0.0017,12,...........,-327.67
0.066,-0.743517,-0.000500229,0.0,-0.74565,0.00159167,12,...........,-327.67
0.068,-0.744808,-0.000516903,0.0,-0.74665,0.00168333,12,...........,-327.67
0.07,-0.745642,-0.000475218,0.0,-0.74765,0.00171667,12,...........,-327.67
0.072,-0.746633,-0.000500229,0.0,-0.74865,0.00163333,12,...........,-327.67
0.074,-0.747804,-0.000508566,0.0,-0.74965,0.0017,12,...........,-327.67
0.076,-0.748479,-0.000496061,0.0,-0.75065,0.00165833,12,...........,-327.67
0.078,-0.749692,-0.000525241,0.0,-0.75165,0.0017,12,...........,-327.67
0.08,-0.7507,-0.000491892,0.0,-0.75265,0.00165833,12,...........,-327.67
0.082,-0.751471,-0.000483555,0.0,-0.75365,0.001625,12,...........,-327.67
0.084,-0.752825,-0.000504398,0.0,-0.75465,0.001725,12,...........,-327.67
0.086,-0.753762,-0.000537746,0.0,-0.75565,0.00163333,12,...........,-327.67
0.088,-0.754633,-0.000504398,0.0,-0.75665,0.00166667,12,...........,-327.67
0.09,-0.755579,-0.000508566,0.0,-0.75765,0.00166667,12,...........,-327.67
0.092,-0.756633,-0.000566926,0.0,-0.75865,0.00164167,12,...........,-327.67
0.094,-0.757608,-0.000554421,0.0,-0.75965,0.00170833,12,...........,-327.67
0.096,-0.7586,-0.000533578,0.0,-0.76065,0.00165,12,...........,-327.67
0.098,-0.759592,-0.000541915,0.0,-0.76165,0.00165833,12,...........,-327.67
0.1,-0.76075,-0.000529409,0.0,-0.76265,0.00164167,12,...........,-327.67
0.102,-0.761629,-0.000541915,0.0,-0.76365,0.001675,12,...........,-327.67
0.104,-0.762642,-0.000546083,0.0,-0.76465,0.00166667,12,...........,-327.67
0.106,-0.763608,-0.000537746,0.0,-0.76565,0.001625,12,...........,-327.67
0.108,-0.764617,-0.000541915,0.0,-0.76665,0.001675,12,...........,-327.67
0.11,-0.765662,-0.000537746,0.0,-0.76765,0.00166667,12,...........,-327.67
0.112,-0.766671,-0.000541915,0.0,-0.76865,0.00164167,12,...........,-327.67
0.114,-0.767467,-0.000529409,0.0,-0.76965,0.001675,12,...........,-327.67
0.116,-0.768833,-0.000562758,0.0,-0.77065,0.00163333,12,...........,-327.67
0.118,-0.769704,-0.000554421,0.0,-0.77165,0.00168333,12,...........,-327.67
0.12,-0.77065,-0.000550252,0.0,-0.77265,0.00166667,12,...........,-327.67
