CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
-0.45,0.00609445,0.0
-0.4,0.00606683,0.0
-0.35,0.00605154,0.0
-0.3,0.00602409,0.0
-0.25,0.00600629,0.0
-0.2,0.00598719,0.0
-0.15,0.00596014,0.0
-0.1,0.00593827,0.0
-0.05,0.00592087,0.0
0.0,0.00591356,0.000295678
0.05,-0.192102,-0.00930941
0.1,-0.118087,-0.0152138
0.15,-0.0936976,-0.0198987
0.2,-0.0793236,-0.0238648
0.25,-0.0697917,-0.0273544
0.3,-0.0628857,-0.0304987
0.35,-0.0575758,-0.0333775
0.4,-0.0533272,-0.0360439
0.45,-0.0498469,-0.0385362
0.5,-0.046895,-0.040881
0.55,-0.0443415,-0.043098
0.6,-0.0421039,-0.0452032
0.65,-0.0401396,-0.0472102
0.7,-0.0384051,-0.0491305
0.75,-0.0368845,-0.0509747
0.8,-0.0355398,-0.0527517
0.85,-0.0343259,-0.054468
0.9,-0.033216,-0.0561288
0.95,-0.0322053,-0.057739
1.0,-0.0312773,-0.0593029
1.05,-0.030441,-0.0608249
1.1,-0.0296484,-0.0623074
1.15,-0.0289182,-0.0637533
1.2,-0.0282318,-0.0651649
1.25,-0.0276021,-0.066545
1.3,-0.0270026,-0.0678951
1.35,-0.0264257,-0.0692164
1.4,-0.0259165,-0.0705122
1.45,-0.0254479,-0.0717846
1.5,-0.0249743,-0.0730333
1.55,-0.0245353,-0.0742601
1.6,-0.0241178,-0.075466
1.65,-0.0237063,-0.0766513
1.7,-0.0233249,-0.0778175
1.75,-0.0229719,-0.0789661
1.8,-0.0226243,-0.0800973
1.85,-0.0223009,-0.0812124
1.9,-0.0219821,-0.0823115
1.95,-0.0216789,-0.0833954
2.0,-0.0213985,-0.0844654
2.05,-0.0211125,-0.085521
2.1,-0.02086,-0.086564
2.15,-0.0205867,-0.0875933
2.2,-0.0203301,-0.0886098
2.25,-0.0200891,-0.0896143
2.3,-0.0198648,-0.0906075
2.35,-0.0196504,-0.09159
2.4,-0.0194398,-0.092562
2.45,-0.0192561,-0.0935248
2.5,-0.0190487,-0.0944773
2.55,-0.0188502,-0.0954198
2.6,-0.0186581,-0.0963527
2.65,-0.0184828,-0.0972768
