CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
0.0,3.2782,0.16391
0.05,0.440248,0.185923
0.1,0.474437,0.209644
0.15,0.493682,0.234328
0.2,0.50182,0.259419
0.25,0.505316,0.284685
0.3,0.506272,0.309999
0.35,0.506052,0.335301
0.4,0.505302,0.360567
0.45,0.504288,0.385781
0.5,0.503177,0.41094
0.55,0.501997,0.43604
0.6,0.500804,0.46108
0.65,0.499587,0.486059
0.7,0.498421,0.51098
0.75,0.497245,0.535842
0.8,0.496107,0.560648
0.85,0.495003,0.585398
0.9,0.493914,0.610094
0.95,0.492863,0.634737
1.0,0.491862,0.65933
1.05,0.49088,0.683874
1.1,0.489939,0.708371
1.15,0.489039,0.732823
1.2,0.488145,0.75723
1.25,0.487273,0.781594
1.3,0.486453,0.805916
1.35,0.485654,0.830199
1.4,0.484823,0.85444
1.45,0.484065,0.878643
1.5,0.483289,0.902808
1.55,0.482536,0.926935
1.6,0.481811,0.951025
1.65,0.481088,0.97508
1.7,0.480417,0.9991
1.75,0.4798,1.02309
1.8,0.479143,1.04705
1.85,0.4785,1.07097
1.9,0.477887,1.09487
1.95,0.477272,1.11873
2.0,0.476688,1.14256
2.05,0.476102,1.16637
2.1,0.475514,1.19015
2.15,0.474948,1.21389
2.2,0.474371,1.23761
2.25,0.473832,1.2613
2.3,0.473294,1.28497
2.35,0.472763,1.30861
2.4,0.472233,1.33222
2.45,0.471743,1.3558
2.5,0.471237,1.37937
2.55,0.470728,1.4029
2.6,0.470264,1.42642
2.65,0.46977,1.4499
2.7,0.469309,1.47337
2.75,0.468847,1.49681
2.8,0.468395,1.52023
2.85,0.467954,1.54363
2.9,0.467501,1.56701
2.95,0.467077,1.59036
3.0,0.466651,1.61369
3.05,0.466212,1.637
3.1,0.465793,1.66029
3.15,0.465399,1.68356
3.2,0.464989,1.70681
3.25,0.46458,1.73004
3.3,0.464185,1.75325
3.35,0.463792,1.77644
3.4,0.463404,1.79961
3.45,0.463041,1.82276
3.5,0.462649,1.84589
3.55,0.462293,1.86901
3.6,0.461912,1.8921
3.65,0.461541,1.91518
3.7,0.461176,1.93824
3.75,0.460861,1.96128
3.8,0.460539,1.98431
3.85,0.460184,2.00732
3.9,0.459836,2.03031
3.95,0.459477,2.05328
4.0,0.459144,2.07624
4.05,0.458819,2.09918
4.1,0.45849,2.12211
4.15,0.458166,2.14502
4.2,0.457834,2.16791
4.25,0.457534,2.19078
4.3,0.457229,2.21365
4.35,0.45693,2.23649
4.4,0.456624,2.25932
4.45,0.456298,2.28214
4.5,0.455994,2.30494
4.55,0.455708,2.32772
4.6,0.455414,2.35049
4.65,0.455129,2.37325
4.7,0.454841,2.39599
4.75,0.454549,2.41872
4.8,0.454285,2.44143
4.85,0.454017,2.46413
4.9,0.453753,2.48682
4.95,0.453481,2.5095
5.0,0.453227,2.53216
5.05,0.452945,2.55481
5.1,0.452697,2.57744
5.15,0.452448,2.60006
5.2,0.452187,2.62267
5.25,0.451935,2.64527
5.3,0.45169,2.66785
5.35,0.451443,2.69043
5.4,0.451195,2.71299
5.45,0.450962,2.73553
5.5,0.450713,2.75807
5.55,0.450488,2.78059
5.6,0.450266,2.80311
5.65,0.45004,2.82561
5.7,0.449815,2.8481
5.75,0.449586,2.87058
