100 mVs,SCAN RATE,99.9998
T,Vf,Im
0.02,-0.571184,-0.000418525
0.04,-0.573243,-0.000500646
0.06,-0.575235,-0.00054525
0.08,-0.577047,-0.000581933
0.1,-0.579068,-0.000610696
0.12,-0.581036,-0.000631956
0.14,-0.583162,-0.000671558
0.16,-0.585047,-0.000700321
0.18,-0.587049,-0.000732836
0.2,-0.589042,-0.000740756
0.22,-0.591192,-0.000766184
0.24,-0.593022,-0.000783692
0.26,-0.594975,-0.000807036
0.28,-0.597042,-0.000824127
0.3,-0.599148,-0.000839968
0.32,-0.601033,-0.000862062
0.34,-0.603052,-0.000868731
0.36,-0.605012,-0.000877902
0.38,-0.607106,-0.000901246
0.4,-0.60903,-0.000913752
0.42,-0.611018,-0.000925424
0.44,-0.613043,-0.000928759
0.46,-0.61517,-0.000944599
0.48,-0.617049,-0.000955021
0.5,-0.619057,-0.000972112
0.52,-0.62105,-0.000985868
0.54,-0.623207,-0.000980449
0.56,-0.625049,-0.000991704
0.58,-0.62684,-0.000994622
0.6,-0.629017,-0.0010113
0.62,-0.631076,-0.00102464
0.64,-0.633031,-0.00101088
0.66,-0.635045,-0.00102839
0.68,-0.637045,-0.00105257
0.7,-0.639116,-0.00105006
0.72,-0.641038,-0.00104173
0.74,-0.643008,-0.00105882
0.76,-0.645045,-0.00105382
0.78,-0.647201,-0.00106841
0.8,-0.649046,-0.00107758
0.82,-0.651074,-0.0010659
0.84,-0.653011,-0.00109425
0.86,-0.655035,-0.00109175
0.88,-0.657005,-0.00109759
0.9,-0.659014,-0.0011301
0.92,-0.661029,-0.00112677
0.94,-0.663116,-0.00114011
0.96,-0.665039,-0.00116011
0.98,-0.667037,-0.00117679
1.0,-0.669042,-0.00116637
1.02,-0.671173,-0.00116095
1.04,-0.673021,-0.00115344
1.06,-0.675017,-0.0011647
1.08,-0.67707,-0.00118471
1.1,-0.679009,-0.00118888
1.12,-0.681002,-0.00118513
1.14,-0.683018,-0.00120847
1.16,-0.685025,-0.00121222
1.18,-0.687094,-0.00120138
1.2,-0.689039,-0.00120555
1.22,-0.690961,-0.0012018
1.24,-0.693033,-0.00122264
1.26,-0.695206,-0.00120305
1.28,-0.697044,-0.00122223
1.3,-0.698902,-0.00122639
1.32,-0.701052,-0.00124682
1.34,-0.703209,-0.00125849
1.36,-0.705009,-0.00125808
1.38,-0.707017,-0.00123807
1.4,-0.709016,-0.00127809
1.42,-0.711089,-0.00126891
1.44,-0.713029,-0.00125057
1.46,-0.71501,-0.00125766
1.48,-0.717043,-0.00127809
1.5,-0.719144,-0.00128184
1.52,-0.721018,-0.00127809
1.54,-0.722958,-0.00126183
1.56,-0.725035,-0.00129268
1.58,-0.727162,-0.00129559
1.6,-0.729045,-0.00127725
1.62,-0.731012,-0.00129893
1.64,-0.733015,-0.0013031
1.66,-0.735026,-0.00129893
1.68,-0.737018,-0.00133019
1.7,-0.739028,-0.00131935
1.72,-0.741039,-0.00133144
1.74,-0.743167,-0.00132602
1.76,-0.745037,-0.00132853
1.78,-0.746979,-0.00132019
1.8,-0.749044,-0.00133603
1.82,-0.75115,-0.00131435
1.84,-0.753018,-0.00132727
1.86,-0.754858,-0.00133728
1.88,-0.757005,-0.00132978
1.9,-0.759019,-0.00134687
1.92,-0.761005,-0.00133394
1.94,-0.763017,-0.00133895
1.96,-0.765036,-0.00134853
1.98,-0.76713,-0.00135979
2.0,-0.769035,-0.00135854
2.02,-0.77101,-0.00134186
2.04,-0.773045,-0.00133645
2.06,-0.775224,-0.00135937
2.08,-0.777045,-0.00137563
2.1,-0.779046,-0.00136104
2.12,-0.781003,-0.00137605
2.14,-0.783004,-0.00139272
2.16,-0.78501,-0.00139105
2.18,-0.787023,-0.00136396
2.2,-0.789037,-0.00137396
2.22,-0.79114,-0.00139272
2.24,-0.793045,-0.00140481
