File Name,dataCV,SCAN RATE,499.999
T,Vf,Im
0.002,-0.711562,-0.000254283
0.004,-0.712792,-0.000245946
0.006,-0.713667,-0.000275126
0.008,-0.714637,-0.000354329
0.01,-0.715742,-0.000329317
0.012,-0.71665,-0.000371003
0.014,-0.717675,-0.000366835
0.016,-0.718621,-0.00037934
0.018,-0.719458,-0.000375172
0.02,-0.720833,-0.000371003
0.022,-0.721692,-0.000362666
0.024,-0.722617,-0.000371003
0.026,-0.723929,-0.000366835
0.028,-0.724721,-0.000345992
0.03,-0.725662,-0.000412689
0.032,-0.726783,-0.000429363
0.034,-0.7276,-0.000412689
0.036,-0.728804,-0.000421026
0.038,-0.729642,-0.000421026
0.04,-0.730596,-0.000433532
0.042,-0.7316,-0.0004377
0.044,-0.732617,-0.000441869
0.046,-0.733633,-0.000416858
0.048,-0.734592,-0.000421026
0.05,-0.735567,-0.000441869
0.052,-0.736796,-0.000454375
0.054,-0.737612,-0.000450206
0.056,-0.738629,-0.000462712
0.058,-0.7396,-0.000475218
0.06,-0.740621,-0.000487723
0.062,-0.741713,-0.000462712
0.064,-0.742633,-0.000521072
0.066,-0.743517,-0.000500229
0.068,-0.744808,-0.000516903
0.07,-0.745642,-0.000475218
0.072,-0.746633,-0.000500229
0.074,-0.747804,-0.000508566
0.076,-0.748479,-0.000496061
0.078,-0.749692,-0.000525241
0.08,-0.7507,-0.000491892
0.082,-0.751471,-0.000483555
0.084,-0.752825,-0.000504398
0.086,-0.753762,-0.000537746
0.088,-0.754633,-0.000504398
0.09,-0.755579,-0.000508566
0.092,-0.756633,-0.000566926
0.094,-0.757608,-0.000554421
0.096,-0.7586,-0.000533578
0.098,-0.759592,-0.000541915
0.1,-0.76075,-0.000529409
0.102,-0.761629,-0.000541915
0.104,-0.762642,-0.000546083
0.106,-0.763608,-0.000537746
0.108,-0.764617,-0.000541915
0.11,-0.765662,-0.000537746
0.112,-0.766671,-0.000541915
0.114,-0.767467,-0.000529409
0.116,-0.768833,-0.000562758
0.118,-0.769704,-0.000554421
0.12,-0.77065,-0.000550252
0.122,-0.771808,-0.000558589
0.124,-0.772654,-0.000550252
0.126,-0.773729,-0.000562758
0.128,-0.774683,-0.000546083
0.13,-0.775475,-0.000516903
0.132,-0.776833,-0.000558589
0.134,-0.777771,-0.000554421
0.136,-0.778646,-0.000550252
0.138,-0.780037,-0.000529409
0.14,-0.780529,-0.000554421
0.142,-0.781617,-0.000558589
0.144,-0.782625,-0.000575263
0.146,-0.783633,-0.000587769
0.148,-0.784763,-0.000587769
0.15,-0.785587,-0.000575263
0.152,-0.786621,-0.000546083
0.154,-0.787617,-0.000558589
0.156,-0.788642,-0.000579432
0.158,-0.789679,-0.000554421
0.16,-0.79065,-0.000566926
0.162,-0.791475,-0.000571095
0.164,-0.792804,-0.000608612
0.166,-0.793658,-0.000591938
0.168,-0.794633,-0.000550252
0.17,-0.795571,-0.000600275
0.172,-0.796596,-0.000575263
0.174,-0.797696,-0.000579432
0.176,-0.798642,-0.000591938
0.178,-0.799467,-0.000579432
0.18,-0.800717,-0.000616949
0.182,-0.801712,-0.000579432
0.184,-0.80265,-0.000625286
0.186,-0.803792,-0.000575263
0.188,-0.804825,-0.000566926
0.19,-0.805779,-0.000600275
0.192,-0.8066,-0.000583601
0.194,-0.807642,-0.000566926
0.196,-0.808629,-0.000604443
0.198,-0.809575,-0.000621118
0.2,-0.810621,-0.000604443
0.202,-0.8116,-0.000571095
0.204,-0.812604,-0.000600275
0.206,-0.81365,-0.000575263
0.208,-0.814621,-0.000625286
0.21,-0.815512,-0.000633624
0.212,-0.816821,-0.000591938
0.214,-0.817696,-0.000583601
0.216,-0.818633,-0.000600275
0.218,-0.819571,-0.000633624
0.22,-0.820571,-0.000621118
0.222,-0.821658,-0.000629455
0.224,-0.822642,-0.000616949
0.226,-0.823517,-0.000587769
0.228,-0.824787,-0.000591938
0.23,-0.825704,-0.000608612
0.232,-0.826625,-0.000600275
0.234,-0.827787,-0.000616949
0.236,-0.828783,-0.000621118
0.238,-0.829679,-0.000608612
0.24,-0.830829,-0.000608612
0.242,-0.83145,-0.000604443
0.244,-0.832617,-0.000612781
0.246,-0.833608,-0.000612781
0.248,-0.834571,-0.000612781
0.25,-0.835575,-0.000633624
0.252,-0.836583,-0.000629455
0.254,-0.837633,-0.000633624
0.256,-0.838625,-0.000633624
0.258,-0.839583,-0.000654466
0.26,-0.840708,-0.000608612
0.262,-0.841537,-0.000654466
0.264,-0.842587,-0.000646129
0.266,-0.843583,-0.000650298
0.268,-0.844596,-0.000637792
0.27,-0.84565,-0.000608612
0.272,-0.846608,-0.000629455
0.274,-0.847471,-0.000625286
0.276,-0.848771,-0.000612781
0.278,-0.849658,-0.000637792
0.28,-0.850625,-0.000608612
0.282,-0.85155,-0.000662804
0.284,-0.852521,-0.000641961
0.286,-0.85365,-0.000637792
0.288,-0.854658,-0.000637792
0.29,-0.855621,-0.000662804
0.292,-0.856821,-0.000671141
0.294,-0.857587,-0.000708658
0.296,-0.858558,-0.000654466
0.298,-0.859571,-0.000671141
0.3,-0.8606,-0.000696152
0.302,-0.861617,-0.000671141
0.304,-0.862558,-0.000650298
0.306,-0.863521,-0.000687815
0.308,-0.864733,-0.000687815
0.31,-0.865625,-0.000666972
0.312,-0.866596,-0.000687815
0.314,-0.867475,-0.000733669
0.316,-0.868587,-0.000687815
0.318,-0.869642,-0.000696152
0.32,-0.870592,-0.000700321
0.322,-0.871471,-0.000700321
0.324,-0.872792,-0.000704489
