Cleaning LSV04,SCAN RATE,499.999
T,Vf
0.004,-0.613625
0.008,-0.611423
0.012,-0.609433
0.016,-0.607425
0.02,-0.605525
0.024,-0.603398
0.028,-0.601269
0.032,-0.599383
0.036,-0.597604
0.04,-0.59545
0.044,-0.59341
0.048,-0.591442
0.052,-0.589621
0.056,-0.587429
0.06,-0.585429
0.064,-0.583438
0.068,-0.581431
0.072,-0.579456
0.076,-0.577427
0.08,-0.57545
0.084,-0.573604
0.088,-0.57149
0.092,-0.569492
0.096,-0.567429
0.1,-0.565598
0.104,-0.563446
0.108,-0.561383
0.112,-0.559421
0.116,-0.557487
0.12,-0.555423
0.124,-0.553452
0.128,-0.551412
0.132,-0.549627
0.136,-0.547548
0.14,-0.5455
0.144,-0.543433
0.148,-0.541646
0.152,-0.53946
0.156,-0.537406
0.16,-0.535419
0.164,-0.53354
0.168,-0.531433
0.172,-0.52944
0.176,-0.527427
0.18,-0.525508
0.184,-0.523673
0.188,-0.521633
0.192,-0.519425
0.196,-0.517602
0.2,-0.51545
0.204,-0.513431
0.208,-0.511442
0.212,-0.509621
0.216,-0.507427
0.22,-0.50546
0.224,-0.503423
0.228,-0.501525
0.232,-0.499425
0.236,-0.49764
0.24,-0.495425
0.244,-0.493638
0.248,-0.491471
0.252,-0.489462
0.256,-0.487444
0.26,-0.485571
0.264,-0.483448
0.268,-0.481467
0.272,-0.479444
0.276,-0.477562
0.28,-0.475483
0.284,-0.47349
0.288,-0.471473
0.292,-0.46961
0.296,-0.467462
0.3,-0.465504
0.304,-0.46345
0.308,-0.461629
0.312,-0.459435
0.316,-0.457473
0.32,-0.455423
0.324,-0.453556
0.328,-0.45144
0.332,-0.449487
0.336,-0.44745
0.34,-0.445625
0.344,-0.443494
0.348,-0.441467
0.352,-0.439437
0.356,-0.437602
0.36,-0.43545
0.364,-0.433444
0.368,-0.431446
0.372,-0.429573
0.376,-0.427446
0.38,-0.425498
0.384,-0.423435
0.388,-0.421629
0.392,-0.419506
0.396,-0.417558
0.4,-0.41545
0.404,-0.413646
0.408,-0.411442
0.412,-0.409462
0.416,-0.407446
0.42,-0.405587
0.424,-0.403448
0.428,-0.401513
0.432,-0.399429
0.436,-0.397527
0.44,-0.39565
0.444,-0.393444
0.448,-0.391448
0.452,-0.389654
0.456,-0.38745
0.46,-0.385496
0.464,-0.38345
0.468,-0.381531
0.472,-0.379458
0.476,-0.377487
0.48,-0.375446
0.484,-0.373594
0.488,-0.37144
0.492,-0.3696
0.496,-0.36745
0.5,-0.365633
0.504,-0.363494
0.508,-0.361533
0.512,-0.35945
0.516,-0.357637
0.52,-0.355448
0.524,-0.353498
0.528,-0.35144
0.532,-0.349571
0.536,-0.347454
0.54,-0.345421
0.544,-0.343479
0.548,-0.341625
0.552,-0.33945
0.556,-0.33751
0.56,-0.33545
0.564,-0.333638
0.568,-0.33145
0.572,-0.329492
0.576,-0.327446
0.58,-0.32559
0.584,-0.323456
0.588,-0.321512
0.592,-0.31945
0.596,-0.31764
0.6,-0.31555
0.604,-0.313517
0.608,-0.311444
0.612,-0.309637
0.616,-0.307448
0.62,-0.305502
0.624,-0.303446
0.628,-0.301585
0.632,-0.299477
0.636,-0.2975
0.64,-0.295487
0.644,-0.293673
0.648,-0.291627
0.652,-0.289604
0.656,-0.28745
0.66,-0.28564
0.664,-0.283458
0.668,-0.28155
0.672,-0.27945
0.676,-0.277617
0.68,-0.275458
0.684,-0.273531
0.688,-0.271481
0.692,-0.26956
0.696,-0.267662
0.7,-0.265579
0.704,-0.263467
0.708,-0.261665
0.712,-0.259448
0.716,-0.257542
0.72,-0.25545
0.724,-0.25359
0.728,-0.251456
0.732,-0.249525
0.736,-0.247452
0.74,-0.245583
0.744,-0.243473
0.748,-0.241642
0.752,-0.23945
0.756,-0.237687
0.76,-0.235512
0.764,-0.233512
0.768,-0.23145
0.772,-0.229642
0.776,-0.22746
0.78,-0.225556
0.784,-0.223454
0.788,-0.221606
0.792,-0.219477
0.796,-0.217485
0.8,-0.215519
0.804,-0.21369
0.808,-0.211485
0.812,-0.209646
0.816,-0.20745
0.82,-0.205619
0.824,-0.20345
0.828,-0.201581
0.832,-0.199465
0.836,-0.197615
0.84,-0.195456
0.844,-0.193546
0.848,-0.19145
0.852,-0.18965
0.856,-0.187562
0.86,-0.185529
0.864,-0.18345
