OCP03
T,Vf
0.508333,0.410247
1.01667,0.407679
1.525,0.389849
2.03333,0.334495
2.54167,0.231436
3.05,0.100232
3.55833,-0.0241138
4.06667,-0.117622
4.575,-0.17647
5.08333,-0.209505
5.59167,-0.227905
6.1,-0.239629
6.60833,-0.248764
7.11667,-0.256888
7.625,-0.264438
8.13333,-0.271484
8.64167,-0.278034
9.15,-0.28411
9.6583,-0.289743
10.1667,-0.294964
10.675,-0.299808
11.1833,-0.304297
11.6917,-0.308448
12.2,-0.312275
12.7083,-0.315811
13.2167,-0.319112
13.725,-0.322217
14.2333,-0.325138
14.7417,-0.327883
15.25,-0.330471
15.7583,-0.332926
16.2667,-0.335275
16.775,-0.337528
17.2833,-0.339677
17.7917,-0.341718
18.3,-0.343653
18.8083,-0.345508
19.3167,-0.347322
19.825,-0.349122
20.3333,-0.350901
20.8417,-0.352634
21.35,-0.354309
21.8583,-0.355932
22.3667,-0.357511
22.875,-0.359041
23.3833,-0.360512
23.8917,-0.361929
24.4,-0.36331
24.9083,-0.36467
25.4167,-0.366024
25.925,-0.367389
26.4333,-0.368757
26.9417,-0.370086
27.45,-0.371364
27.9583,-0.372617
28.4667,-0.373872
28.975,-0.375129
29.4833,-0.376373
29.9917,-0.377594
30.5,-0.378798
31.0083,-0.379984
31.5167,-0.38115
32.025,-0.382302
32.5333,-0.383445
33.0417,-0.384562
33.55,-0.385647
34.0583,-0.386716
34.5667,-0.387772
35.075,-0.388807
35.5833,-0.389821
36.0917,-0.390814
36.6,-0.391787
37.1083,-0.392742
37.6167,-0.393688
38.125,-0.394616
38.6333,-0.395501
39.1417,-0.396341
39.65,-0.397162
40.1583,-0.397977
40.6667,-0.398781
41.175,-0.399566
41.6833,-0.400329
42.1917,-0.401074
42.7,-0.40181
43.2083,-0.402544
43.7167,-0.403276
44.225,-0.404005
44.7333,-0.40472
45.2417,-0.405405
45.75,-0.406064
46.2583,-0.40672
46.7667,-0.407382
47.275,-0.408035
47.7833,-0.40866
48.2917,-0.409266
48.8,-0.409879
49.3083,-0.41051
49.8167,-0.411137
50.325,-0.411737
50.8333,-0.412315
51.3417,-0.412883
51.85,-0.41344
52.3583,-0.413996
52.8667,-0.414563
53.375,-0.415139
53.8833,-0.415725
54.3917,-0.416325
54.9,-0.416944
55.4083,-0.417561
55.9167,-0.418148
56.425,-0.418713
56.9333,-0.419283
57.4417,-0.419863
57.95,-0.420434
58.4583,-0.420976
58.9667,-0.421484
59.475,-0.421986
59.9833,-0.422507
60.4917,-0.423043
61.0,-0.423579
61.5083,-0.424111
62.0167,-0.424633
62.525,-0.425152
63.0333,-0.425669
63.5417,-0.426176
64.05,-0.426672
64.5583,-0.427164
65.0667,-0.427655
65.575,-0.428142
66.0833,-0.42862
66.5917,-0.429091
67.1,-0.42956
67.6083,-0.430039
68.1167,-0.430526
68.625,-0.431003
69.1333,-0.431463
69.6417,-0.431912
70.15,-0.432356
70.6583,-0.432803
71.1667,-0.433269
71.675,-0.433751
72.1833,-0.434223
72.6917,-0.434666
73.2,-0.435088
73.7083,-0.435503
74.2167,-0.435917
74.725,-0.436338
75.2333,-0.436765
75.7417,-0.437175
76.25,-0.437557
76.7583,-0.437928
77.2667,-0.438307
77.775,-0.438695
78.2833,-0.439073
78.7917,-0.439439
79.3,-0.439818
79.8083,-0.440213
80.3167,-0.440599
80.825,-0.440969
81.3333,-0.441356
81.8417,-0.441776
82.35,-0.442199
82.8583,-0.442605
83.3667,-0.443011
83.875,-0.443424
84.3833,-0.443829
84.8917,-0.444222
85.4,-0.444618
85.9083,-0.445021
86.4167,-0.44542
86.925,-0.445816
87.4333,-0.44622
87.9417,-0.446619
88.45,-0.446975
88.9583,-0.447281
89.4667,-0.447575
89.975,-0.447894
90.4833,-0.448236
90.9917,-0.448585
91.5,-0.448931
92.0083,-0.449276
92.5167,-0.449625
93.025,-0.449976
93.5333,-0.450324
94.0417,-0.450671
94.55,-0.451021
95.058,-0.45137
95.567,-0.451711
96.075,-0.452045
96.583,-0.452381
97.092,-0.452728
97.6,-0.453084
98.108,-0.453435
98.617,-0.453775
99.125,-0.45411
99.633,-0.454449
100.142,-0.454796
100.65,-0.45515
101.158,-0.455516
101.667,-0.455895
102.175,-0.456279
102.683,-0.456649
103.192,-0.456995
103.7,-0.457331
104.208,-0.457669
104.717,-0.458011
105.225,-0.458354
105.733,-0.458704
106.242,-0.459071
106.75,-0.459443
107.258,-0.459788
107.767,-0.460099
108.275,-0.46041
108.783,-0.460748
109.292,-0.461101
109.8,-0.461438
110.308,-0.461749
110.817,-0.462061
111.325,-0.462394
111.833,-0.462737
112.342,-0.463059
112.85,-0.463355
113.358,-0.463655
113.867,-0.463981
114.375,-0.464319
114.883,-0.464636
115.392,-0.464925
115.9,-0.465221
116.408,-0.465547
116.917,-0.465886
117.425,-0.466201
117.933,-0.466484
118.442,-0.466769
118.95,-0.467085
119.458,-0.467425
119.967,-0.46775
120.475,-0.468049
120.983,-0.468347
121.492,-0.468669
122.0,-0.469009
122.508,-0.469336
123.017,-0.469643
123.525,-0.469956
124.033,-0.470297
124.542,-0.470652
125.05,-0.470999
125.558,-0.471337
126.067,-0.47169
126.575,-0.472061
127.083,-0.472411
127.592,-0.472703
128.1,-0.472949
128.608,-0.473201
129.117,-0.473487
129.625,-0.473796
130.133,-0.474107
130.642,-0.474408
131.15,-0.474701
131.658,-0.474985
132.167,-0.475265
132.675,-0.475544
133.183,-0.475814
133.692,-0.476074
134.2,-0.476329
134.708,-0.476582
135.217,-0.476837
135.725,-0.477096
136.233,-0.47735
136.742,-0.477592
137.25,-0.477826
137.758,-0.478061
138.267,-0.478301
138.775,-0.478548
139.283,-0.478802
139.792,-0.479049
140.3,-0.479281
140.808,-0.47951
141.317,-0.47975
141.825,-0.480004
142.333,-0.480266
142.842,-0.480525
143.35,-0.48077
143.858,-0.481009
144.367,-0.481259
144.875,-0.481534
145.383,-0.481825
145.892,-0.482113
146.4,-0.482379
146.908,-0.482628
147.417,-0.482882
147.925,-0.483157
148.433,-0.483446
148.942,-0.483729
149.45,-0.483992
149.958,-0.484246
150.467,-0.484513
150.975,-0.484808
151.483,-0.485123
151.992,-0.485425
152.5,-0.485701
153.008,-0.485977
153.517,-0.486279
154.025,-0.4866
154.533,-0.486908
155.042,-0.487181
155.55,-0.487437
156.058,-0.487711
156.567,-0.488024
157.075,-0.488364
157.583,-0.48871
158.092,-0.48906
158.6,-0.489435
159.108,-0.489842
159.617,-0.490262
160.125,-0.490686
160.633,-0.491112
161.142,-0.491523
161.65,-0.491885
162.158,-0.492195
162.667,-0.492489
163.175,-0.492799
163.683,-0.493118
164.192,-0.493408
164.7,-0.493651
165.208,-0.493876
165.717,-0.494127
166.225,-0.49442
166.733,-0.49473
167.242,-0.495008
167.75,-0.495231
168.258,-0.495433
168.767,-0.495665
169.275,-0.495952
169.783,-0.496264
170.292,-0.496548
170.8,-0.496792
171.308,-0.497026
171.817,-0.497273
172.325,-0.497537
172.833,-0.497815
173.342,-0.498081
173.85,-0.498301
174.358,-0.498471
