T,Vf,Im
10.194,0.192212,0.00188836
10.196,0.191117,0.00193839
10.198,0.190154,0.00194672
10.2,0.189179,0.00190504
10.202,0.188004,0.00186752
10.204,0.187121,0.00195923
10.206,0.18615,0.00192171
10.208,0.185117,0.00193422
10.21,0.184121,0.00191754
10.212,0.183058,0.00192171
10.214,0.182121,0.00191338
10.216,0.181275,0.00190087
10.218,0.179967,0.00192171
10.22,0.179071,0.00191338
10.222,0.17815,0.00192171
10.224,0.177046,0.00191754
10.226,0.176167,0.00188836
10.228,0.175092,0.00192588
10.23,0.174158,0.00194672
10.232,0.173317,0.00190087
10.234,0.17195,0.00190921
10.236,0.171096,0.00191338
10.238,0.17015,0.00191754
10.24,0.168804,0.00187586
10.242,0.168113,0.00188836
10.244,0.167017,0.00192171
10.246,0.16615,0.00188836
10.248,0.165154,0.00188836
10.25,0.164083,0.00188836
10.252,0.163071,0.00189253
10.254,0.16215,0.00191338
10.256,0.1612,0.00188836
10.258,0.160154,0.00193422
10.26,0.159096,0.00193005
10.262,0.15815,0.0018842
10.264,0.157217,0.00188003
10.266,0.15595,0.00190504
10.268,0.155108,0.00187586
10.27,0.15415,0.00189253
10.272,0.152983,0.00189253
10.274,0.152146,0.00188836
10.276,0.151008,0.00193005
10.278,0.150104,0.00191754
10.28,0.149292,0.00193005
10.282,0.147942,0.00191338
10.284,0.147033,0.00190504
10.286,0.14615,0.00186752
10.288,0.144904,0.00191338
10.29,0.144208,0.0018967
10.292,0.143096,0.00191338
10.294,0.141867,0.0018967
10.296,0.14135,0.00192588
10.298,0.140067,0.00188836
10.3,0.139142,0.00193422
10.302,0.13815,0.00190087
10.304,0.137129,0.00188836
10.306,0.13615,0.00186335
10.308,0.135112,0.00190504
10.31,0.134158,0.00188836
10.312,0.133171,0.00188003
10.314,0.132,0.0018842
10.316,0.131087,0.00187169
10.318,0.130154,0.00189253
10.32,0.12905,0.00188003
10.322,0.128196,0.00186752
10.324,0.127033,0.00187169
10.326,0.12615,0.00188003
10.328,0.125329,0.00187169
10.33,0.12395,0.00187586
10.332,0.123054,0.00183834
10.334,0.122167,0.00188836
10.336,0.120879,0.00185502
10.338,0.120129,0.00182167
10.34,0.119017,0.00187169
10.342,0.117954,0.00187586
10.344,0.117179,0.0018842
10.346,0.115958,0.00186752
10.348,0.115133,0.00183
10.35,0.114129,0.00187586
10.352,0.113154,0.00186752
10.354,0.112125,0.00188836
10.356,0.111125,0.00188003
10.358,0.11015,0.00187169
10.36,0.109229,0.00184251
10.362,0.107971,0.00183
10.364,0.107096,0.00182167
10.366,0.10615,0.00186335
10.368,0.105096,0.00186335
10.37,0.104175,0.00186752
10.372,0.103021,0.00185085
10.374,0.1021,0.00184668
10.376,0.101283,0.00187169
10.378,0.099975,0.00183834
10.38,0.0990667,0.00184251
10.382,0.0981583,0.00182167
10.384,0.0970083,0.00182167
10.386,0.0962333,0.00185502
10.388,0.095,0.00185502
10.39,0.0940875,0.00184251
10.392,0.0933333,0.0018175
10.394,0.0919708,0.00182584
10.396,0.0910333,0.00183417
10.398,0.09015,0.00182584
10.4,0.0891458,0.00184668
10.402,0.0881333,0.0018175
10.404,0.0871167,0.00183834
10.406,0.0861542,0.00185085
10.408,0.0851417,0.00180499
10.41,0.0841042,0.0018175
10.412,0.0830875,0.00183417
10.414,0.0821583,0.00183
10.416,0.081125,0.00180499
10.418,0.0801417,0.00186752
10.42,0.0790458,0.00181333
10.422,0.0781667,0.00181333
10.424,0.0773125,0.00181333
10.426,0.0759542,0.0018175
10.428,0.0751042,0.00181333
10.43,0.07415,0.00180916
10.432,0.0730167,0.00179249
10.434,0.072225,0.00178832
10.436,0.0709917,0.00179666
10.438,0.070125,0.00177164
10.44,0.069325,0.00175914
10.442,0.068,0.00177581
10.444,0.067125,0.00178415
10.446,0.0661958,0.0018175
10.448,0.0649458,0.00177581
10.45,0.0642667,0.00176748
10.452,0.0631167,0.00179249
10.454,0.0621583,0.00174246
10.456,0.0612042,0.0017383
10.458,0.0601,0.00176331
10.46,0.0591542,0.00172996
10.462,0.0581625,0.00171745
10.464,0.0571542,0.00175914
10.466,0.0561708,0.00172162
10.468,0.0551,0.0017508
10.47,0.054175,0.00174663
10.472,0.0533333,0.00174663
10.474,0.0519583,0.00172996
10.476,0.0511125,0.00172996
10.478,0.0501625,0.0017383
10.48,0.0490792,0.00172162
10.482,0.0481583,0.00172996
10.484,0.0470667,0.0017383
10.486,0.0461625,0.00171745
10.488,0.0452958,0.00172579
10.49,0.043975,0.00172162
10.492,0.0431333,0.00171745
10.494,0.042175,0.00169244
10.496,0.0408125,0.00169661
10.498,0.04015,0.00170912
10.5,0.0390167,0.00170078
10.502,0.0381417,0.0016841
10.504,0.0371542,0.00170495
10.506,0.0360833,0.00167577
10.508,0.0351292,0.00167994
10.51,0.0341417,0.00164242
10.512,0.0332333,0.00165492
10.514,0.0321417,0.00164242
10.516,0.0311333,0.00162158
10.518,0.0301583,0.00166326
10.52,0.0293167,0.00164242
10.522,0.0279833,0.00161741
10.524,0.0271792,0.00163825
10.526,0.02615,0.00164659
10.528,0.0252125,0.00162991
10.53,0.0241417,0.00162574
10.532,0.0230542,0.00161741
10.534,0.0221333,0.00160907
10.536,0.02135,0.00158823
10.538,0.0199542,0.00162574
10.54,0.019225,0.00157572
10.542,0.0181917,0.00161324
10.544,0.016925,0.00158406
10.546,0.0162917,0.00161324
10.548,0.0150958,0.00161741
10.55,0.0139583,0.0015924
10.552,0.0133333,0.00157155
10.554,0.0120833,0.00160907
10.556,0.0111625,0.00154237
10.558,0.0101542,0.00157989
10.56,0.009175,0.00157989
10.562,0.0081875,0.0015924
10.564,0.00714167,0.0015382
10.566,0.00619167,0.00157572
10.568,0.00524583,0.00155905
10.57,0.004,0.00155071
10.572,0.00320417,0.00157572
10.574,0.0021625,0.00155071
10.576,0.00111667,0.00156322
10.578,0.000225,0.00155905
10.58,-0.0008625,0.00155905
10.582,-0.0017625,0.00155488
10.584,-0.0027,0.00156738
10.586,-0.00404167,0.00155905
10.588,-0.0048375,0.00154237
10.59,-0.00583333,0.00156322
10.592,-0.00699583,0.00154237
10.594,-0.0078375,0.00156738
10.596,-0.00885417,0.00155071
10.598,-0.00992917,0.00154237
10.6,-0.0106792,0.00152987
10.602,-0.0120167,0.0015382
10.604,-0.0127792,0.00152987
10.606,-0.0137583,0.00152987
10.608,-0.0147917,0.00155905
10.61,-0.0158,0.00155071
10.612,-0.0168042,0.00152987
10.614,-0.0177958,0.00154237
10.616,-0.018725,0.00150902
10.618,-0.019925,0.00154237
10.62,-0.0208083,0.0015257
10.622,-0.0218292,0.00150069
10.624,-0.0227583,0.00152153
10.626,-0.0237458,0.00152987
10.628,-0.0248542,0.00152987
10.63,-0.0258333,0.00150069
10.632,-0.0266917,0.00154654
10.634,-0.0280125,0.00150069
10.636,-0.0287667,0.00153404
10.638,-0.0297833,0.00150902
10.64,-0.0307542,0.0015382
10.642,-0.031675,0.00151736
10.644,-0.0328958,0.00154237
10.646,-0.0338458,0.0015382
10.648,-0.0347,0.00149652
10.65,-0.0359792,0.00148818
10.652,-0.0368083,0.00151319
10.654,-0.0378333,0.00151736
10.656,-0.0387625,0.00150486
10.658,-0.0397458,0.00147568
10.66,-0.0408292,0.00152153
10.662,-0.0418083,0.00150069
10.664,-0.0427458,0.00151736
10.666,-0.0439417,0.00152987
10.668,-0.044825,0.00150486
10.67,-0.0458083,0.00152987
10.672,-0.0467292,0.00150069
10.674,-0.0477417,0.00147984
10.676,-0.0488208,0.00151736
10.678,-0.0497958,0.00149235
10.68,-0.05065,0.00148818
10.682,-0.0520042,0.00150069
10.684,-0.0528417,0.00149235
10.686,-0.053825,0.00150069
10.688,-0.0548333,0.00151319
10.69,-0.0557708,0.00150069
10.692,-0.0568833,0.00148818
10.694,-0.0578333,0.00148818
10.696,-0.0586833,0.00148401
10.698,-0.0600125,0.00148401
10.7,-0.06085,0.00148818
10.702,-0.0618833,0.00149235
10.704,-0.063175,0.00147151
10.706,-0.0635708,0.001459
10.708,-0.064825,0.00146734
10.71,-0.0658167,0.00148818
10.712,-0.0667667,0.00147984
10.714,-0.0679292,0.001459
10.716,-0.0687875,0.00146734
10.718,-0.0697917,0.00146734
10.72,-0.0707708,0.00148401
10.722,-0.0718292,0.00145066
10.724,-0.0728458,0.00147568
